21,20,16,22,15,1
22,26,13,20,19,0
22,35,5,12,20,2
22,33,6,27,12,1
22,47,1,29,10,1
22,36,4,37,3,1
22,26,14,31,8,1
22,39,2,30,9,0
22,29,11,33,6,2
22,12,20,47,1,2
22,22,16,26,14,0
23,20,18,29,13,2
23,20,19,23,15,1
23,31,8,21,17,1
23,27,14,31,7,0
23,29,11,39,4,2
23,37,5,35,6,1
23,31,9,37,5,1
23,21,17,23,16,2
23,23,15,20,18,0
23,29,13,31,8,2
24,36,7,41,3,0
24,39,5,23,17,0
24,53,1,29,12,1
24,30,10,28,14,0
24,42,2,15,20,0
24,32,9,29,11,0
24,29,12,29,13,2
24,41,3,15,20,1
24,32,9,24,16,1
24,34,8,37,6,1
25,27,15,25,16,0
25,32,10,21,18,1
25,21,19,40,4,0
25,29,13,36,8,1
25,43,3,56,1,2
25,30,12,31,11,0
25,16,20,29,14,2
25,21,18,44,2,2
25,24,17,43,3,1
25,40,5,32,10,2
26,39,6,37,9,1
26,41,4,31,14,1
26,59,1,27,16,1
26,25,17,22,18,0
26,32,13,36,10,0
26,27,16,38,7,0
26,47,2,40,5,1
26,32,12,25,17,0
26,37,9,59,1,0
26,27,16,39,6,1
27,40,6,28,16,0
27,23,18,33,12,2
27,32,13,16,20,1
27,43,4,44,3,0
27,37,9,37,10,1
27,31,14,21,19,0
27,16,20,31,14,2
27,21,19,37,9,0
27,28,16,33,11,1
27,40,5,31,15,1
28,42,6,44,4,1
28,27,17,35,12,2
28,37,10,23,19,2
28,36,11,40,8,2
28,63,1,50,2,1
28,50,2,35,13,1
28,23,18,38,9,0
28,31,15,36,11,1
28,31,16,37,10,0
28,40,8,63,1,0
29,45,4,45,3,1
29,26,18,38,10,2
29,27,17,41,8,0
29,43,7,16,20,1
29,44,6,33,15,0
29,35,13,39,9,2
29,33,15,43,7,1
29,16,20,26,18,0
29,41,8,44,5,2
29,39,9,44,6,2
30,70,1,45,7,1
30,38,11,28,17,2
30,41,10,32,16,1
30,36,13,24,19,1
30,35,14,46,5,2
30,37,12,53,2,0
30,45,6,34,15,0
30,53,2,36,13,1
30,17,20,38,11,0
30,42,9,28,17,1
31,27,18,35,15,1
31,46,6,70,1,1
31,27,19,38,13,2
31,48,4,47,5,2
31,35,14,32,16,2
31,42,10,45,7,1
31,44,9,49,3,2
31,38,13,45,7,1
31,38,13,35,14,0
31,35,15,45,8,2
32,53,3,44,11,1
32,45,8,27,18,2
32,35,16,27,19,1
32,31,17,48,7,0
32,52,4,49,5,0
32,70,1,45,10,1
32,39,13,18,20,1
32,27,19,57,2,2
32,18,20,45,10,1
32,49,5,53,3,2
33,60,2,35,16,2
33,45,9,38,14,1
33,48,7,44,11,1
33,53,4,39,13,1
33,45,8,27,19,2
33,73,1,30,18,1
33,49,6,42,12,2
33,36,15,35,17,1
33,30,18,49,6,1
33,35,17,45,8,1
34,38,16,53,5,2
34,35,17,56,3,2
34,39,14,39,13,1
34,45,10,48,8,0
34,45,11,51,6,2
34,60,2,38,16,1
34,48,8,44,12,0
34,21,20,38,15,1
34,51,6,45,10,2
34,56,3,33,18,1
35,45,11,38,15,2
35,76,1,30,19,0
35,49,9,42,13,0
35,39,14,56,4,2
35,53,6,45,12,1
35,33,18,53,6,2
35,38,16,63,2,2
35,38,17,24,20,1
35,56,4,54,5,1
35,30,19,39,14,1
36,38,16,80,1,2
36,43,13,45,11,1
36,45,10,50,8,2
36,45,12,50,7,0
36,49,9,62,3,1
36,24,20,59,5,2
36,43,13,45,10,0
36,66,2,62,4,1
36,50,7,33,19,1
36,24,20,38,16,0
37,57,6,41,14,1
37,45,13,46,12,1
37,62,3,47,10,1
37,80,1,38,17,2
37,53,8,52,9,1
37,39,15,46,11,1
37,62,4,34,18,1
37,62,3,57,6,0
37,62,5,25,20,1
37,46,11,80,1,1
38,48,12,70,2,0
38,52,9,66,3,2
38,33,19,25,20,0
38,41,15,65,4,0
38,41,16,56,7,0
38,65,5,48,11,1
38,34,18,58,6,2
38,39,17,42,14,1
38,48,12,54,8,1
38,49,10,70,2,1
38,46,13,80,1,1
